organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, soil phs:userid,soil phs:horizon number,soil phs:horizon top depth (cm),soil phs:horizon bottom depth (cm),soil phs:reference depth level 5cm,soil phs:reference depth level 10cm,soil phs:reference depth level 30cm,soil phs:reference depth level 50cm,soil phs:reference depth level 60cm,soil phs:reference depth level 90cm,soil phs:collected on,soil phs:ph,soil phs:ph method,soil phs:comments,soil phs:globe teams
The GLOBE ID assigned to the school or organization,The name of the reporting school or other institution,The GLOBE ID assigned to the site,The name assigned to the site where the data were collected; the name is selected by the reporting person as part of site definition,The latitude of the site where data were observed in decimal degrees,The longitude of the site where date were observed in decimal degrees,The elevation of the site where data were observed in meters,The date only of when the data were observed in Coordinated Universal Time (UTC),,Horizon number of the soil characterization measurements,Soil horizon top depth in centimeters,Soil horizon bottom depth in centimeters,Number of the soil horizon at 5 cm depth,Number of the soil horizon at 10 cm depth,Number of the soil horizon at 30 cm depth,Number of the soil horizon at 50 cm depth,Number of the soil horizon at 60 cm depth,Number of the soil horizon at 90 cm depth,Date sample was collected for measurement of soil pH,pH of the soil horizon,"Method used to measure soil pH: paper, pen, or meter",Comments on the soil pH measurement,
23062480,Alemam ahmed bin said basic school,106962,التربة مدرسة الامام أحمد بن سعيد,24.341603,56.739414,3,3/13/2018,23325166,2,10,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2018-03-13T00:00:00,8.1,meter,,
23062480,Alemam ahmed bin said basic school,106962,التربة مدرسة الامام أحمد بن سعيد,24.341603,56.739414,3,3/13/2018,23325166,3,20,100,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2018-03-13T00:00:00,8.6,meter,,
84062,Alexander Dawson School,19938,soil/hydrology-A:SCS-05,40.0361,-105.0632,1539.8,4/15/2004,-1,1,0,23.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2004-04-15T00:00:00,7.5,paper,,
23329836,Alfadal alhawari pasic school,137928,alansab,23.348633,58.261914,10,9/26/2018,48529332,1,0,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2018-09-26T00:00:00,7.8,meter,,
23329836,Alfadal alhawari pasic school,137928,alansab,23.348633,58.261914,10,9/26/2018,48529332,2,20,40,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2018-09-26T00:00:00,7.8,meter,,
233220,Al-Farouq Intermediate School at Jeddah,32272,Al-Farouk new2:ATM-03,21.81051,39.3169,38,6/1/2017,2879814,4,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-06-01T00:00:00,7,meter,,
233220,Al-Farouq Intermediate School at Jeddah,32272,Al-Farouk new2:ATM-03,21.81051,39.3169,38,6/1/2017,2879814,1,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-06-01T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,32272,Al-Farouk new2:ATM-03,21.81051,39.3169,38,6/1/2017,2879814,2,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-06-01T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,32272,Al-Farouk new2:ATM-03,21.81051,39.3169,38,6/1/2017,2879814,3,8,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2017-06-01T00:00:00,6.6,meter,,
233220,Al-Farouq Intermediate School at Jeddah,32272,Al-Farouk new2:ATM-03,21.81051,39.3169,38,6/1/2017,2879814,5,15,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-06-01T00:00:00,6.9,meter,,
233220,Al-Farouq Intermediate School at Jeddah,32272,Al-Farouk new2:ATM-03,21.81051,39.3169,38,6/1/2017,2879814,6,19,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017-06-01T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35298,farouk soil2,21.5544,39.1834,15,2/2/2016,2879814,1,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-02-02T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35298,farouk soil2,21.5544,39.1834,15,2/2/2016,2879814,2,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-02-02T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35298,farouk soil2,21.5544,39.1834,15,2/2/2016,2879814,3,8,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2016-02-02T00:00:00,7.3,meter,,
233220,Al-Farouq Intermediate School at Jeddah,35298,farouk soil2,21.5544,39.1834,15,2/2/2016,2879814,4,14,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-02-02T00:00:00,7.6,meter,,
233220,Al-Farouq Intermediate School at Jeddah,34700,jed-soil1,21.626528,39.103942,1,9/13/2015,2879814,1,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2015-09-13T00:00:00,8.8,meter,,
233220,Al-Farouq Intermediate School at Jeddah,34700,jed-soil1,21.626528,39.103942,1,9/13/2015,2879814,3,7,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2015-09-13T00:00:00,9.2,meter,,
233220,Al-Farouq Intermediate School at Jeddah,34700,jed-soil1,21.626528,39.103942,1,9/13/2015,2879814,2,3,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2015-09-13T00:00:00,8.9,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,1,0,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009-07-05T00:00:00,7.2,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,2,7,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009-07-05T00:00:00,7,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,3,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2009-07-05T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,4,15,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2009-07-05T00:00:00,6.9,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,5,20,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2009-07-05T00:00:00,7.4,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,6,23,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2009-07-05T00:00:00,7.1,meter,,
233220,Al-Farouq Intermediate School at Jeddah,13107,school shelter:SCS-01,21.5544,39.18421,15,7/5/2009,2879814,7,30,50,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009-07-05T00:00:00,7.5,meter,,
