 site_name, latitude, longitude,soil phs:ph
Valley Namar in Riyadh,24.56851,46.67402,7.9
Valley Namar in Riyadh,24.56851,46.67402,7.2
Valley Namar in Riyadh,24.56851,46.67402,7.2
ASHAFAA,24.421731,56.695099,7.1
majas,24.44727,56.665468,7.6
Al Shat Secondary Girls School:SCS-01,19.8342,42.5167,7.4
Al khafiji,23,58,9.6
Al Shouf international schools,31.948758,35.847787,5.6
1Sultan said  bin taymour School,22.5816,59.263769,7.6
soil school,23.49688,57.24878,8.3
ALTHABTI SOIL,22.43,58.31,8.4
ALTHABTI SOIL,22.43,58.31,8.4
ALTHABTI SOIL,22.43,58.31,8.6
resaerch sit,22.4122,58.3255,7.8
resaerch sit2,22.4122,58.3255,8.1
RESEARCH sit 4,22.697321,58.53931,6.5
RESEARCH sit 44,22.69937,58.542644,7.5
AGRECULTUR TREEF SCHOOL,24.364301,56.715342,7.9
altreef school,24.364953,56.716123,9.3
altreef school,24.364953,56.716123,8.2
altreef school,24.364953,56.716123,9.3
altreef school,24.364953,56.716123,8.6
altreef school,24.364953,56.716123,9.2
altreef school,24.364953,56.716123,8.2
khyrat Sohar farm,24.39825,56.65165,7.2
khyrat Sohar farm2,24.39825,56.65165,7.2
TREEF SCHOOL SCIENTIFIC RESRARCH,24.36406,56.715315,6.7
School soil:SCS-01,32.0013,35.8017,6.8
"Huai si thon, Kalasin province, Thailand",16.486106,103.554433,4.5
Sausal Creek Down,37.80443,-122.1665,8
Sausal Creek Middle,37.8067,-122.21562,7
Sausal Creek Top,37.80878,-122.21567,7
Field Weather Station,39.0769,-76.607889,6
Plot 477,39.076147,-76.607588,5
Plot 478,39.076148,-76.607472,5.1
Plot 498,39.076237,-76.60759,4.8
Plot 523,39.076336,-76.606898,5.6
Plot 542,39.076433,-76.606438,4
Plot 553,39.076523,-76.60644,4.8
Plot 565,39.076575,-76.609216,5.4
Plot 567,39.076611,-76.606558,4.4
Plot 568,39.076611,-76.606558,4.4
Plot 570,39.076615,-76.606327,6.1
Plot 579,39.076697,-76.606906,5.5
Plot 580,39.076698,-76.606791,4.5
Plot 581,39.0767,-76.606675,4.3
Plot 585,39.076706,-76.606213,5.1
Plot 596,39.07679,-76.606677,5.2
Plot 597,39.076792,-76.606562,4.8
Plot 598,39.076793,-76.606446,4.7
Plot 599,39.076795,-76.606331,5.4
alnasba,20.0911,41.17392,6.9
Asma Bint ALNamun School,23.712158,57.848388,6.6
asma garden,23.38,56.37,7.6
Al-Naqa':SCS-06,18.15185,42.40216,8.9
Al-Naqa':SCS-06,18.15185,42.40216,7.7
Al-Naqa':SCS-06,18.15185,42.40216,7.9
Al-Seddiq:SCS-01,18.18,42.41,8.9
Wadi bin hashbal2:SCS-07,18.55717,42.387,9.2
wadi bin hashbal:SCS-05,18.18,42.43,9.4
wadi bin hashbal:SCS-05,18.18,42.43,9.1
wadi bin hashbal:SCS-05,18.18,42.43,9
wadi bin hashbal:SCS-05,18.18,42.43,8.9
Alsedeeq Secondary School Atmosphere:ATM-01,18.14799,42.16277,6
Alsedeeq Secondary School Soil 10,18.15357,42.15847,6
Alsedeeq Secondary School Soil 11,18.15869,42.15107,6
Alsedeeq Secondary School Soil 11,18.15869,42.15107,6
Alsedeeq Secondary School Soil 12,18.14016,42.16696,6
Alsedeeq Secondary School Soil 13,18.16827,42.14465,6
Alsedeeq Secondary School Soil 13,18.16827,42.14465,6
Alsedeeq Secondary School Soil 14,18.16218,42.1485,6
Alsedeeq Secondary School Soil 14,18.16218,42.1485,6
Alsedeeq Secondary School Soil 15,18.18159,42.13559,6
Alsedeeq Secondary School Soil 15,18.18159,42.13559,6
Alsedeeq Secondary School Soil 16,18.14526,42.16378,6
Alsedeeq Secondary School Soil 16,18.14526,42.16378,6
Alsedeeq Secondary School Soil 17,18.15252,42.15937,6
Alsedeeq Secondary School Soil 17,18.15252,42.15937,5
Alsedeeq Secondary School Soil 18,18.14415,42.16673,6
Alsedeeq Secondary School Soil 18,18.14415,42.16673,6
Alsedeeq Secondary School Soil 19,18.14445,42.16357,6
Alsedeeq Secondary School Soil 19,18.14445,42.16357,6
Alsedeeq Secondary school soil 2,18.14807,42.16256,6
Alsedeeq Secondary school soil 2,18.14807,42.16256,6
Alsedeeq Secondary school soil 2,18.14807,42.16256,6
Alsedeeq Secondary school soil 2,18.14807,42.16256,7
Alsedeeq Secondary school soil 2,18.14807,42.16256,7
Alsedeeq Secondary School Soil 20,18.14617,42.16389,6
Alsedeeq Secondary School Soil 20,18.14617,42.16389,6
Alsedeeq Secondary School Soil 21,18.14806,42.16087,6
Alsedeeq Secondary School Soil 21,18.14806,42.16087,6
Alsedeeq Secondary School Soil 3,18.14433,42.16352,6
